date,comment
2020. 4. 29.,선택적 반일 역겹네요. 저들의 반일선동은 대체 언제까지 갈지...
2020. 4. 29.,내가 불매 일년도 안간다 햇제?
2020. 4. 29.,반갑습니다 구독 알림설정 했습니다 계속 홧팅입니다 😉👍🏻
2020. 4. 29.,"지난 해 일본제품불매, 일본방문반대운동은 허구라는게 다 드러났다. 지난해의 일본제품불매운동은 원인제공자는 문재인과 김명수라는 돌팔이 대법원장이다."
2020. 4. 29.,나도 불매했는데 아 물론 불꽃구매 ㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 29.,코로나 끝나면 도대체 얼마나 많아질까나 ㅋㅋ
2020. 4. 29.,"한일간 연방제 재통일해 중공 군사 제국주의 를 타도하고, 동아시아의 자유민주주의 시장경제를 지키자. 핵무장한 일본이 한국과 힘을 합쳐 중공 러시아 팽창 제국주의 를 막아야 미국의 태평양, 미국 재산과 자유도 안전해진다. 

韓日間 聯邦制 再統一해 中共 軍事 帝國主義를 打倒하고, 東亞(East-Asia)의 自由民主主義 市場經濟를 守護하자. 核武裝한 日本이 韓國과 聯合해 中共 Russia 膨脹 帝國主義를 制壓해야 美國의 太平洋 航海, 米國市民들의 財産과 自由도 安全해진다."
2020. 4. 29.,"그래도 민주당 180석이 현실....
나라의 운, 국운이 이제 다했나봄.
사실 국민성에 비해서 약 50년간 
너무 으쌰으쌰 했음."
2020. 4. 29.,코로나 끝나면  일본여행  불티나게 가시겠네요~
2020. 4. 29.,냄비근성ㅋㅋ
2020. 4. 29.,"...ㅎ....ㅎ 참 어이없네 ㅋㅋ
아니 보이콧 불매운동힐땐 언제고....나만 성실하게 불매운동하고 자빠졌었으니 ..아주 참"
2020. 4. 29.,🤣
2020. 4. 29.,구독..했어요
2020. 4. 29.,"울산 홈플러스매장  속에  유니클로 불매운동 
매장 상표만 선전만 해주고있다"
2020. 4. 29.,미쳣군....
2020. 4. 29.,ㅋㅋ    이럴줄 알았다
2020. 4. 29.,"불매운동 한다고 개난리 쿵쾅대는 인간들이 
일본제품은 그 어떤 핑계를 붙여서라도
구매에 적극적인게 현실입니다.
애초부터 그렇게 난리를 치질말던가..."
2020. 4. 29.,선거와 인기몰이를 위해 반일 운동 선동해서 일본에 무슨 타격을 입혔을까?
2020. 4. 29.,불매운동??? 못하겠다 나는 플스5 살꺼여
2020. 4. 29.,다시원상 복구네 ㅎㅎ
2020. 4. 29.,모여봐요 개돼지숲에서 완전 끝났음을 알렸죠ㅋㅋㅋㅋ
2020. 4. 29.,"맞아요 반일운동한게 어디가 성공인가요?ㅋㅋㅋㅋ
반일운동하는 사람들ㅋㅋㅋ
말만 나쁘게하고 유니클로 세일하면 
품절대란ㅋㅋㅋㅋㅋ"
2020. 4. 29.,왜구 맞네
2020. 4. 29.,"반미.가드반대 인간들이
나~~키.아~~전화기에 쓰지말아여지..말.행덩 따로!"
2020. 4. 29.,"가짜 중국산 불매운동 좀 안하시나 적극 참여 지금도 일인시위중 ㅋ
중국산 불매 엄청 힘들어요
거의 대부분 차이나 아이그 내가 스트레스 이빠이 거의 차이나로 도배"
2020. 4. 29.,작년에 발생한 반일운동은 중국의 조종을 받는 민주 당과 조선족댓글알바들이 결합되어서 나타난선동에 지나지 않는데 그 목적은 한국이 일본과멀어지고 그 다음으로 미국과 멀어지게 해서 그 공백을 중국으로 채우려는 한국을 중국의 속국으로만들기 위한 것입 니다. 그래서반일운동을 하는 건 조선족들과 민주당 에게 선동당해서 매국적친중을 하고 있는것으로 간 주해도 무방합니다
2020. 4. 29.,이시국 거리던 유튜버들 일본겜 열나게 해대는중
2020. 4. 29.,"https://youtu.be/puUYIRJ2avM
이거 한번만 봤으면 좋겠습니다."
2020. 4. 29.,"ㅋㅋ 깨알정보 ^^타지에 계신분들 와 보세요  바로 길잃어 버립니다.^^에 빵 터졌습니다.  
대한민국 자유 민주주의 국민은 절대  반일 프레임에 속지 않습니다..오로지 조선시대 백성만 반일 프레임에  속는다능 ~~~
결론 멋지구요 ~~~늘 옳은 소리 영상에  큰 공감하며 응원하며 축복합니다."
2020. 4. 29.,역시 우리나라 사람들은 시간이 지나면 내가 언제 그랬냐는듯이 잊어버리니......다른나라에서 호구로 생각한다는거요......한국분들.... 언제 정신 차리실거예요?
2020. 4. 29.,요즘이 아니라 정상으로 돌아온거 훨씬 더 전 이에요!! 불매운동은 진짜 말 같지도 않은 소리입니다.
2020. 4. 29.,"스위치 최신기기 120만원 가격뻠핑 보고 끄덕끄덕 했습니다 , 그럼 그렇지 ㅋㅋㅋㅋ 반일 ㅂㅅ들 ㅋㅋㅋㅋ"
2020. 4. 29.,왜구 좋아하는 사람들이 민주당은 뭐 이리 많이 찍었데 ㅋㅋㅋ
2020. 4. 29.,"유니클로 좋아요. 그래서 구매할란다. 이게 어때서요. 근데 예전보다는  확실히 유니클로 붐이 줄었어요. 이건 팩트맞습니다. 하지만 한참 반일 불매할 때보다는 늘었습니다. 조금 더 기둘려보죠. 어떨지. ㅎㅎ
가슴이 머리를 이길 수 있겠지만 그 가슴이 얼마나 갈지."
2020. 4. 29.,"유니클로 앙대요 빼액!
닌텐도 동물의숲 조아조아
동물농장ㅡ.ㅡ"
2020. 4. 29.,마스크는  안쓰고 다니는건..불안하넹ㆍ
2020. 4. 29.,샤인형님 저 전남 근처에서 군 대체복무관련해서 있는데욥 작년 목포 유니클로 감사절에 결제하는데 35분 넘게 걸렸습니다
2020. 4. 29.,유니클로 안가도 다이소는 가던데ㅎ
2020. 4. 29.,일본불매운동 할빠엔 북한불매운동을 한다 ㅋㅋㅋㅋ
2020. 4. 29.,냄비조선근성
2020. 4. 29.,민주연구원장 양정철이 일본불매는 선거에 좋다고 보고서 나오니까 대깨문들 신나서 일본불매 했었는데 ㅋㅋㅋ 선거 끝나니깐 더이상 필요 없는거죠 ㅋ
